bank,name,aspect,sentiment,quote
dom_bank,Анна,speed,negative,"Больше всего раздражает, когда перевод зависает."
dom_bank,Анна,ux,positive,понятный календарь платежей.
dom_bank,Анна,ux,negative,и нет шаблонов для повторяющихся переводов.
dom_bank,Анна,support,negative,"Поддержка – больная тема. Дозвониться невозможно, в чате бот тупит."
dom_bank,Дмитрий,ux,positive,"Дизайн нравится, но функционал для бизнеса слабый."
dom_bank,Дмитрий,ux,negative,"Дизайн нравится, но функционал для бизнеса слабый."
dom_bank,Дмитрий,speed,negative,У меня часто вылетает приложение при просмотре истории операций.
dom_bank,Дмитрий,support,negative,Я писал в чат – отвечали сутки.
dom_bank,Елена,ux,positive,Похвалю простой интерфейс ипотечного калькулятора.
dom_bank,Елена,ux,negative,Мне не хватает push-уведомлений об изменении статуса ипотечной заявки.
dom_bank,Елена,speed,negative,Я боюсь делать крупные переводы вечером – вдруг не дойдут.
dom_bank,Елена,support,negative,"Поддержка – просто тихий ужас. Вчера полчаса ждала ответа, потом сбросили."
dom_bank,Павел,speed,positive,быстрые переводы по реквизитам.
dom_bank,Павел,speed,negative,"У меня лаги при входе – биометрия срабатывает через раз, потом требует пароль."
dom_bank,Павел,ux,positive,"Я ценю, что приложение не требует постоянного подтверждения."
dom_bank,Павел,ux,negative,"Меня бесит, что нельзя прикрепить несколько файлов к одному платежу."
dom_bank,Павел,support,negative,"хотел заблокировать карту, пока ждал, карту взломали."
dom_bank,Павел,security,negative,"хотел заблокировать карту, пока ждал, карту взломали."
polus_bank,Александр,speed,negative,раньше быстрее работало
polus_bank,Александр,speed,positive,За пять минут оформил.
polus_bank,Александр,speed,negative,"Был случай: отправил крупную сумму, а она 20 минут висела в статусе «обрабатывается»."
polus_bank,Александр,speed,negative,"Да, биометрия подтормаживает."
polus_bank,Александр,ux,positive,Дизайн стал красивее
polus_bank,Александр,ux,negative,уведомления — тоже проблема
polus_bank,Александр,support,negative,Но в целом скорость хромает.
polus_bank,Александр,security,negative,Когда с карты списали лишнее
polus_bank,Елена,speed,negative,скорость оставляет желать лучшего
polus_bank,Елена,speed,negative,Особенно переводы между своими счетами — секунды висят.
polus_bank,Елена,ux,positive,Внешне всё симпатично
polus_bank,Елена,ux,negative,"непонятно, почему операция блокируется"
polus_bank,Елена,support,negative,"Меня бесит, что в чате нельзя прикрепить скриншот."
polus_bank,Елена,price,negative,На днях предложили кредит под 20% — я в шоке.
polus_bank,Дмитрий,speed,negative,иногда подвисает
polus_bank,Дмитрий,speed,negative,Я сегодня пытался чек загрузить — два раза вылетело.
polus_bank,Дмитрий,ux,negative,нет возможности отключить уведомления по категориям
